document,success,checkbox_dependants_no,checkbox_dependants_no_conf,checkbox_dependants_yes,checkbox_dependants_yes_conf,checkbox_employment_changes_no,checkbox_employment_changes_no_conf,checkbox_employment_changes_spouse_no,checkbox_employment_changes_spouse_no_conf,checkbox_employment_changes_spouse_yes,checkbox_employment_changes_spouse_yes_conf,checkbox_employment_changes_yes,checkbox_employment_changes_yes_conf,checkbox_family_assets_no,checkbox_family_assets_no_conf,checkbox_family_assets_yes,checkbox_family_assets_yes_conf,checkbox_moved_no,checkbox_moved_no_conf,checkbox_moved_spouse_no,checkbox_moved_spouse_no_conf,checkbox_moved_spouse_yes,checkbox_moved_spouse_yes_conf,checkbox_moved_yes,checkbox_moved_yes_conf,checkbox_need_assistance_no,checkbox_need_assistance_no_conf,checkbox_need_assistance_yes,checkbox_need_assistance_yes_conf,checkbox_school_no,checkbox_school_no_conf,checkbox_school_spouse_no,checkbox_school_spouse_no_conf,checkbox_school_spouse_yes,checkbox_school_spouse_yes_conf,checkbox_school_yes,checkbox_school_yes_conf,checkbox_shelter_no,checkbox_shelter_no_conf,checkbox_shelter_yes,checkbox_shelter_yes_conf,checkbox_warrant_no,checkbox_warrant_no_conf,checkbox_warrant_spouse_no,checkbox_warrant_spouse_no_conf,checkbox_warrant_spouse_yes,checkbox_warrant_spouse_yes_conf,checkbox_warrant_yes,checkbox_warrant_yes_conf,checkbox_work_no,checkbox_work_no_conf,checkbox_work_souse_no,checkbox_work_souse_no_conf,checkbox_work_souse_yes,checkbox_work_souse_yes_conf,checkbox_work_yes,checkbox_work_yes_conf,date,date_conf,explain_changes,explain_changes_conf,income1,income1_conf,income10,income10_conf,income11,income11_conf,income12,income12_conf,income13,income13_conf,income14,income14_conf,income15,income15_conf,income16,income16_conf,income17,income17_conf,income18,income18_conf,income2,income2_conf,income3,income3_conf,income4,income4_conf,income5,income5_conf,income6,income6_conf,income7,income7_conf,income8,income8_conf,income9,income9_conf,name,name_conf,phone,phone_conf,signature,signature_conf,sin,sin_conf,spouse_date,spouse_date_conf,spouse_income1,spouse_income1_conf,spouse_income10,spouse_income10_conf,spouse_income11,spouse_income11_conf,spouse_income12,spouse_income12_conf,spouse_income13,spouse_income13_conf,spouse_income14,spouse_income14_conf,spouse_income15,spouse_income15_conf,spouse_income16,spouse_income16_conf,spouse_income17,spouse_income17_conf,spouse_income18,spouse_income18_conf,spouse_income2,spouse_income2_conf,spouse_income3,spouse_income3_conf,spouse_income4,spouse_income4_conf,spouse_income5,spouse_income5_conf,spouse_income6,spouse_income6_conf,spouse_income7,spouse_income7_conf,spouse_income8,spouse_income8_conf,spouse_income9,spouse_income9_conf,spouse_name,spouse_name_conf,spouse_phone,spouse_phone_conf,spouse_signature,spouse_signature_conf,spouse_sin,spouse_sin_conf
2025-11-13_135834.jpg,True,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.987,selected,0.99,2025-09-13,0.99,"Started part time job, documents attached",0.91,2340.0,0.99,0.0,0.99,0,0.99,0,0.99,0.0,0.983,0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.929,0.0,0.99,0.0,0.99,0.0,0.99,25.67,0.99,0,0.99,0,0.99,1380.0,0.99,0.0,0.99,Kevin Patel,0.97,234-789-1111,0.987,Kradel,0.99,123-456-78,0.944,OTHER DEDUCTIONS,0.555,,0.953,,0.953,,0.979,,0.953,,0.953,,0.952,,0.953,,0.953,,0.953,,0.952,,0.953,,0.953,,0.953,,0.953,,0.952,,0.953,,0.953,,0.952,,0.98,,0.986,,0.953,TOTAL CHEQUE,0.892
Receipt_2025-11-12_124242.jpg,True,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.989,selected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.988,unselected,0.99,2025-11-11,0.99,"Working part-time at Save-on-Foods, 20 hours a week. Started Oct 12. Pay Stubs attached",0.892,1.0,0.99,,0.957,742.89,0.99,1,0.99,68234.0,0.99,,0.988,,0.988,,0.96,,0.956,,0.953,,0.981,,0.953,,0.953,,0.986,,0.987,,0.987,,0.988,,0.96,Sarah Thompson,0.988,234-567-8890,0.987,Station,0.99,234-456-112,0.943,OTHER DEDUCTIONS,0.665,,0.953,,0.953,,0.983,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.984,,0.984,,0.953,TOTAL CHEQUE,0.943
Receipt_2025-11-12_124252 (2).jpg,True,selected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.988,selected,0.99,selected,0.99,unselected,0.988,unselected,0.99,unselected,0.99,selected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.988,selected,0.99,2025-Nov-12,0.99,Began looking for work,0.915,0.0,0.99,0.0,0.99,0,0.99,0,0.99,0.0,0.99,0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.932,0.0,0.99,0.0,0.99,0.0,0.99,0,0.99,0,0.99,0,0.99,0.0,0.99,0.0,0.99,John Smith,0.987,123-456-7789,0.988,Ismael,0.99,123-456-789,0.944,2025-Nov-12,0.829,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,,0.735,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,Maria Smith,0.971,234-567-8890,0.971,Matth,0.99,456-789-012,0.99
Receipt_2025-11-12_124301 (3).jpg,True,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,2025-Jul-13,0.99,"no changes. Continue to receive CPP. DAS, Private pension",0.911,2546.0,0.99,0.0,0.99,0,0.99,0,0.99,0.0,0.99,0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.932,230.0,0.99,0.0,0.99,0.0,0.988,-,0.99,none,0.99,N/A,0.99,0.0,0.99,0.0,0.99,Jennifer Lee,0.987,234-556-7890,0.988,JLee,0.99,235-678-012,0.956,OTHER DEDUCTIONS,0.531,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.984,,0.953,TOTAL CHEQUE,0.96
Receipt_2025-11-13_135843.jpg,True,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,selected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,selected,0.988,selected,0.99,2025-11-12,0.99,"Rent increased, see lease update",0.913,1389.0,0.99,0.0,0.99,0,0.99,0,0.99,0.0,0.99,0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.927,0.0,0.989,0.0,0.984,0.0,0.99,2380.23,0.99,0,0.99,0,0.99,0.0,0.99,0.0,0.99,Dorothy Wilson,0.987,345-765-31,0.988,Dwilson,0.99,123-456-789,0.941,"Nov 25, 2025",0.802,0.0,0.99,0.0,0.99,0.0,0.99,480.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.799,650.25,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,320.0,0.99,0.0,0.99,0.0,0.99,Harold Wilson,0.971,+1 236-789-387,0.97,Khikan,0.99,123-456-789,0.99
Receipt_2025-11-13_135900 (2).jpg,True,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.988,unselected,0.99,2025-Nov-12,0.99,"Began school, student loan received",0.914,0.0,0.99,480.23,0.99,0,0.99,0,0.99,123.0,0.99,@,0.99,0.0,0.99,680.0,0.99,0.0,0.99,350.0,0.911,0.0,0.99,0.0,0.99,0.0,0.99,56024,0.989,0,0.99,0,0.99,0.0,0.99,0.0,0.99,Robert Chen,0.971,123-456-7789,0.989,Kolum,0.99,123-456-789,0.944,OTHER DEDUCTIONS,0.467,,0.953,,0.954,,0.983,,0.953,,0.953,,0.952,,0.953,,0.953,,0.953,,0.955,,0.953,,0.953,,0.953,,0.952,,0.952,,0.953,,0.953,,0.953,,0.952,,0.96,,0.953,TOTAL CHEQUE,0.942
Receipt_2025-11-13_135910 (3).jpg,True,unselected,0.99,selected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,selected,0.99,selected,0.989,unselected,0.989,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.988,selected,0.99,2025-OCT- 22,0.99,"changed address , proof of move",0.904,0.0,0.99,0.0,0.99,-,0.979,:,0.962,,0.986,,0.986,,0.986,,0.98,,0.956,,0.949,343.25,0.983,0.0,0.99,0.0,0.941,0,0.97,0,0.895,0,0.972,333.85,0.99,0.0,0.99,Patrick O'Connor,0.971,(234)-568-7890,0.988,Pacenar,0.99,123-456-789,0.956,2025-nov-23,0.739,,0.952,,0.945,1580.23,0.99,,0.95,,0.953,,0.953,,0.951,2680.0,0.99,,0.836,,0.951,,0.952,,0.953,,0.953,,0.953,,0.951,,0.953,,0.953,,0.952,Lisa O'Connor,0.97,(3211-246-2143,0.971,DOamor,0.99,123-456-788,0.99
Receipt_2025-11-13_135924 (4).jpg,True,selected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.989,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.989,unselected,0.99,2025-Nov-23,0.99,"Received EI, statement submitted",0.924,300.0,0.99,0.0,0.99,0,0.99,0,0.99,0.0,0.99,0,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.911,0.0,0.99,400.0,0.99,0.0,0.99,0,0.99,525.25,0.99,0,0.987,0.0,0.99,0.0,0.99,Amanda Martinez - Jones,0.97,226-783-4854,0.988,AMD,0.99,123-456-789,0.946,OTHER DEDUCTIONS,0.353,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.952,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.952,,0.984,,0.984,,0.953,TOTAL CHEQUE,0.974
Receipt_2025-11-13_135939 (5).jpg,True,selected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.988,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,selected,0.99,selected,0.99,selected,0.99,unselected,0.99,selected,0.988,unselected,0.99,2025-Nov-23,0.99,"Child support started, record altached",0.91,0.0,0.99,0.0,0.989,0,0.99,0,0.99,111.0,0.99,6,0.99,0.0,0.99,0.0,0.99,0.0,0.99,0.0,0.916,10.0,0.99,245.68,0.99,0.0,0.99,0,0.99,0,0.99,0,0.99,347.23,0.99,0.0,0.99,Jim Jones,0.941,123-456-7789,0.988,J.J.,0.99,234-456-789,0.941,OTHER DEDUCTIONS,0.466,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.952,,0.953,,0.952,,0.953,,0.953,,0.952,,0.953,,0.953,,0.953,,0.98,,0.986,,0.953,TOTAL CHEQUE,0.971
Receipt_2025-11-13_135949 (6).jpg,True,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,unselected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,selected,0.99,selected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.99,unselected,0.989,selected,0.99,2025-Nov-12,0.99,"new roommate, room/board income enclosed",0.879,,0.984,,0.959,300,0.99,,0.958,,0.988,,0.988,,0.988,,0.986,,0.986,,0.953,,0.985,,0.953,,0.953,,0.952,480,0.99,,0.957,,0.988,,0.96,Michael Brown,0.989,234-567-8895,0.989,Mbran,0.99,234-256-789,0.959,OTHER DEDUCTIONS,0.466,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.953,,0.947,600.0,0.99,,0.983,,0.986,,0.953,TOTAL CHEQUE,0.937
